====================================================================
  BIU Lost & Found Survey — Playwright Submitter
  Target: 200 responses
  Delay:  5-10s
====================================================================
[  1/200] OK   (success=1, fail=0)
[  2/200] OK   (success=2, fail=0)
[  3/200] OK   (success=3, fail=0)
[  4/200] OK   (success=4, fail=0)
[  5/200] OK   (success=5, fail=0)
[  6/200] OK   (success=6, fail=0)
[  7/200] OK   (success=7, fail=0)
[  8/200] OK   (success=8, fail=0)
[  9/200] OK   (success=9, fail=0)
[ 10/200] OK   (success=10, fail=0)
[ 11/200] OK   (success=11, fail=0)
[ 12/200] OK   (success=12, fail=0)
[ 13/200] OK   (success=13, fail=0)
[ 14/200] OK   (success=14, fail=0)
[ 15/200] OK   (success=15, fail=0)
[ 16/200] OK   (success=16, fail=0)
[ 17/200] OK   (success=17, fail=0)
[ 18/200] OK   (success=18, fail=0)
[ 19/200] OK   (success=19, fail=0)
[ 20/200] OK   (success=20, fail=0)
[ 21/200] OK   (success=21, fail=0)
[ 22/200] OK   (success=22, fail=0)
[ 23/200] OK   (success=23, fail=0)
[ 24/200] OK   (success=24, fail=0)
[ 25/200] OK   (success=25, fail=0)
[ 26/200] OK   (success=26, fail=0)
[ 27/200] OK   (success=27, fail=0)
[ 28/200] OK   (success=28, fail=0)
[ 29/200] OK   (success=29, fail=0)
[ 30/200] OK   (success=30, fail=0)
[ 31/200] OK   (success=31, fail=0)
[ 32/200] OK   (success=32, fail=0)
[ 33/200] OK   (success=33, fail=0)
[ 34/200] OK   (success=34, fail=0)
[ 35/200] OK   (success=35, fail=0)
[ 36/200] OK   (success=36, fail=0)
[ 37/200] OK   (success=37, fail=0)
[ 38/200] OK   (success=38, fail=0)
[ 39/200] OK   (success=39, fail=0)
[ 40/200] OK   (success=40, fail=0)
[ 41/200] OK   (success=41, fail=0)
[ 42/200] OK   (success=42, fail=0)
[ 43/200] OK   (success=43, fail=0)
[ 44/200] OK   (success=44, fail=0)
[ 45/200] OK   (success=45, fail=0)
[ 46/200] OK   (success=46, fail=0)
[ 47/200] OK   (success=47, fail=0)
[ 48/200] OK   (success=48, fail=0)
[ 49/200] OK   (success=49, fail=0)
[ 50/200] OK   (success=50, fail=0)
[ 51/200] OK   (success=51, fail=0)
[ 52/200] OK   (success=52, fail=0)
[ 53/200] OK   (success=53, fail=0)
[ 54/200] OK   (success=54, fail=0)
[ 55/200] OK   (success=55, fail=0)
[ 56/200] OK   (success=56, fail=0)
[ 57/200] OK   (success=57, fail=0)
[ 58/200] OK   (success=58, fail=0)
[ 59/200] OK   (success=59, fail=0)
[ 60/200] OK   (success=60, fail=0)
[ 61/200] OK   (success=61, fail=0)
[ 62/200] OK   (success=62, fail=0)
[ 63/200] OK   (success=63, fail=0)
[ 64/200] OK   (success=64, fail=0)
[ 65/200] OK   (success=65, fail=0)
[ 66/200] OK   (success=66, fail=0)
[ 67/200] OK   (success=67, fail=0)
[ 68/200] OK   (success=68, fail=0)
[ 69/200] OK   (success=69, fail=0)
[ 70/200] OK   (success=70, fail=0)
[ 71/200] OK   (success=71, fail=0)
[ 72/200] OK   (success=72, fail=0)
[ 73/200] OK   (success=73, fail=0)
[ 74/200] OK   (success=74, fail=0)
[ 75/200] OK   (success=75, fail=0)
[ 76/200] OK   (success=76, fail=0)
[ 77/200] OK   (success=77, fail=0)
[ 78/200] OK   (success=78, fail=0)
[ 79/200] OK   (success=79, fail=0)
[ 80/200] OK   (success=80, fail=0)
[ 81/200] OK   (success=81, fail=0)
[ 82/200] OK   (success=82, fail=0)
[ 83/200] OK   (success=83, fail=0)
[ 84/200] OK   (success=84, fail=0)
[ 85/200] OK   (success=85, fail=0)
[ 86/200] OK   (success=86, fail=0)
[ 87/200] OK   (success=87, fail=0)
[ 88/200] OK   (success=88, fail=0)
[ 89/200] OK   (success=89, fail=0)
[ 90/200] OK   (success=90, fail=0)
[ 91/200] OK   (success=91, fail=0)
